ydl,pll,evaluation,date,label
151,3,$中远海控(SH601919)$期待明天多方炮，16.45！,06-08 15:50,2
89,0,$中远海控(SH601919)$这个股票跌起来很快，弹起来很慢,06-08 15:46,1
2684,27,迎接牛市，行情就这样悄悄到了！,06-08 15:39,2
110,1,这个股什么时候分红,06-08 15:30,2
76,0,15.52加碼了一些,06-08 15:27,1
84,0,$中远海控(SH601919)$海控还是一如既往有气无力,06-08 15:25,2
97,0,$中远海控(SH601919)$海控还是一如既往有气无力，但现,06-08 15:24,2
1182,5,6.8，大盘今天一个深V，成功7连阳！,06-08 15:16,1
167,4,$中远海控(SH601919)$,06-08 15:06,2
406,18,今天尾盘没走的散户，明天至少吃负7个点，恭喜你们。,06-08 15:01,1
100,0,$中远海控(SH601919)$我走了，去300102，大股东一直在,06-08 15:00,2
112,1,看这架势还要回调2天,06-08 14:57,2
95,3,海狗你真,06-08 14:56,2
103,0,$中远海控(SH601919)$大盘连续涨这么多天，这厮还在跌,06-08 14:53,2
134,1,$中远海控(SH601919)$宁王7%都拉回来了，万绿龟这,06-08 14:44,2
88,0,$中远海控(SH601919)$这里赚，中国核电那里亏晕了。。,06-08 14:44,2
95,0,$中远海控(SH601919)$又是一万亿！去哪里了,06-08 14:42,2
105,1,$中远海控(SH601919)$16.02出了，15.69再买回来。,06-08 14:38,1
171,1,$中远海控(SH601919)$对比感觉，海控的好像生怕持股人,06-08 14:34,1
101,1,$中远海控(SH601919)$尾盘有没有惊喜,06-08 14:33,1
94,0,$中远海控(SH601919)$做套小天才[666],06-08 14:33,2
93,0,$中远海控(SH601919)$进场，扫货！,06-08 14:27,1
99,2,尾盘15.2,06-08 14:23,1
87,0,$中远海控(SH601919)$垃圾股，为什么不跌停，大盘涨上,06-08 14:19,2
85,0,啦啦啦啦垃圾,06-08 14:17,2
81,0,$中远海控(SH601919)$这么牛比的一个公司，市值才两千,06-08 14:16,2
175,2,PE现在海控现在是2左右，排名前十,06-08 14:08,1
263,5,$中远海控(SH601919)$什么时候分红？,06-08 13:47,2
191,3,$中远海控(SH601919)$这个主力太没格局了,06-08 13:46,2
97,0,"板块反弹1% 本股反弹0.8,% 板块跌3% 本股跌2% 判断为",06-08 13:46,2
279,1,30分钟级别MA5与MA10金死叉做$中远海控 sh601919$  06,06-08 13:42,2
75,0,转发,06-08 13:42,1
96,1,这个海控，要给玩弄了,06-08 13:41,2
113,1,今天不到14.7，那明天一定到,06-08 13:24,1
99,0,收盘15.59,06-08 13:24,1
191,4,现在是加仓的好机会，傻瓜才卖。,06-08 13:20,1
127,1,$中远海控(SH601919)$怎么说万敏带出来的中远海控呢：,06-08 13:20,2
136,1,银行市盈率低是因为担心坏账，海控赚钞票是实打实，市,06-08 13:13,2
305,9,$中远海控(SH601919)$下午翻红，周四，周五吃肉。加仓,06-08 13:12,1
86,0,黄金坑,06-08 13:10,1
124,0,这股买入的机会是分红那天,06-08 13:02,1
107,2,$中远海控(SH601919)$渣渣,06-08 12:58,2
121,1,$中远海控(SH601919)$韭菜们不吹了吗[偷笑][偷笑],06-08 12:53,1
209,2,$中远海控(SH601919)$昨天我就提醒大家了，主力拉两三,06-08 12:53,1
104,0,千亿市值，成交金额非常有限。怎样可以推的动这东西？,06-08 12:46,2
105,0,低吸[滴汗][鼓掌][加油][加油],06-08 12:45,1
92,0,转发,06-08 12:36,1
192,4,$中远海控(SH601919)$账上资金2361亿，A股排名第18，,06-08 12:30,2
113,0,$中远海控(SH601919)$账上资金2361亿，A股排名第18，,06-08 12:30,2
223,4,今天中午央视新闻，中国维稳一带一路政策继续，中远海,06-08 12:29,2
119,2,$中远海控(SH601919)$反弹就是跑的时候,06-08 12:23,2
102,0,$中远海控(SH601919)$韭菜唱多还是少，都是那些托在唱,06-08 12:23,2
112,1,转发,06-08 12:15,1
348,4,旺季，涨价，降关税，中报预告的时间节点上，不觉得空,06-08 12:13,1
137,1,幸好昨天清仓了,06-08 12:12,2
106,0,$中远海控(SH601919)$昨天涨得今天又跌回去了,06-08 12:10,2
111,0,$中远海控(SH601919)$,06-08 12:07,2
117,0,$中远海控(SH601919)$15.79进来的，吃屁了，哈哈哈,06-08 12:03,2
117,0,$中远海控(SH601919)$缩量下跌放量上涨主力诱空还是诱,06-08 11:49,2
88,0,$中远海控(SH601919)$恶心,06-08 11:49,2
106,0,这只股能把一个正常的人给磨疯掉,06-08 11:49,1
134,1,昨天没接回来[笑哭]早晨挂单1545补仓5200，已成交主力,06-08 11:43,1
124,0,$中远海控(SH601919)$一季度营业收入是茅台三倍，净利,06-08 11:39,1
138,1,$中远海控(SH601919)$感觉大盘到了一个阶段顶部，如果,06-08 11:39,1
95,0,$中远海控(SH601919)$指望中远海控赚钱的，给你解套就,06-08 11:33,1
92,0,$中远海控(SH601919)$昨天说了回调，菲菜盒子就是不甘,06-08 11:31,2
91,0,加油，跌停。,06-08 11:31,1
99,0,$中远海控(SH601919)$还好昨天跑了,06-08 11:28,2
91,0,价投信仰被海控击溃了,06-08 11:28,1
122,1,$中远海控(SH601919)$昨天涨的全跌回去了，还得挖一个,06-08 11:28,2
97,0,赶紧逃命吧，又是阴包阳，永远不要相信这fw，月底保准,06-08 11:27,2
113,0,$中远海控(SH601919)$这种成交量大的票，感觉就是用来,06-08 11:26,2
99,0,这情况下午是不是就地板了？,06-08 11:26,2
136,3,至少14.8今天,06-08 11:26,1
201,6,$中远海控(SH601919)$15.50买到了。。,06-08 11:26,1
107,0,$中远海控(SH601919)$还没有到收获的季节，春天突然又,06-08 11:25,1
132,2,$中远海控(SH601919)$牛！上涨倒第一、下跌也第一,06-08 11:23,2
97,0,$中远海控(SH601919)$昨天吃多少今天吐多少哈哈哈哈哈,06-08 11:21,2
100,0,$中远海控(SH601919)$哈哈哈哈，跌回15.44,06-08 11:20,2
90,0,$中远海控(SH601919)$韭菜们继续唱多啊，真是无药可救,06-08 11:20,2
95,0,$中远海控(SH601919)$早说了，反弹就是给你跑机会，韭,06-08 11:19,2
94,0,$中远海控(SH601919)$崩了，直接跳水。,06-08 11:15,2
500,2,北向手里以前一直是50亿左右筹码后来加了10亿左右分红,06-08 11:15,1
80,0,你是真的狗！,06-08 11:14,2
114,1,大盘涨，不跟，跌马上大跌，这种股一般就是散户大本营,06-08 11:13,2
88,0,15块三毛钱挂上了，往下砸，再努力一点。,06-08 11:13,2
82,0,他m的，毫无底线可言,06-08 11:12,2
92,0,$中远海控(SH601919)$涨的时候涨不动，跌起来三瀑布班,06-08 11:11,1
83,0,$中远海控(SH601919)$漂亮,06-08 11:10,2
85,0,$中远海控(SH601919)$昨天涨了几毛钱，你看一个两个高,06-08 11:09,1
90,0,$中远海控(SH601919)$真崩溃，我防着个股还得防着大盘,06-08 11:06,2
86,0,$中远海控(SH601919)$外面打野一圈回来，你还是这个样,06-08 11:04,2
157,3,不嘚瑟了吧,06-08 11:04,2
168,2,$中远海控(SH601919)$如果上海今年集装箱吞吐量突破去,06-08 11:00,2
133,0,我这个小韭菜，一开始玩买的时候30元建仓，最高的时候,06-08 10:58,2
84,0,板块涨60% 你反弹3% 跟跌不敢涨,06-08 10:58,2
1969,3,北向资金连续7日扫货累计加仓超450亿，贵州茅台再获净,06-08 10:58,1
94,0,危险 危险 危险,06-08 10:56,2
77,0,$中远海控(SH601919)$兄弟们，搬出你们的烟雾弹，对着,06-08 10:55,1
328,1,买股就要买个潜力股！纠结于分红，踏空于当下！中远海,06-08 10:53,2
89,0,垃圾，每次拉高都该卖,06-08 10:47,2
174,4,调整一下，明天继续冲[俏皮][俏皮][俏皮],06-08 10:41,1
111,3,$中远海控(SH601919)$改名中远垃圾,06-08 10:36,2
106,1,$中远海控(SH601919)$这渣渣控，让广大小散情何以堪？,06-08 10:31,2
92,0,$中远海控(SH601919)$昨天16出的，看下午能到15.50么,06-08 10:31,2
145,2,$中远海控(SH601919)$看多，上海疫情解封，社会活动增,06-08 10:29,1
105,1,玩死T狗[大笑],06-08 10:28,2
91,0,油运不死，海控不起,06-08 10:28,2
209,1,大盘向4000点第一目标发起攻击,06-08 10:24,1
101,1,$中远海控(SH601919)$论坛钉子户不收声，海控没希望,06-08 10:23,2
160,2,这姿势不对啊，不像是要起飞的造像啊,06-08 10:23,1
152,4,$中远海控(SH601919)$中远长线肯定能吃肉！短线太磨人,06-08 10:19,2
99,0,$中远海控(SH601919)$小散也可以有大能量，新潮两个板,06-08 10:17,2
86,0,继续装死。,06-08 10:14,2
80,0,垃圾垃圾垃圾,06-08 10:14,2
103,0,不要低估整天想做t的力量，就是这批人叫的最厉害。雪,06-08 10:13,1
84,0,$中远海控(SH601919)$真是为了狗了了，这什么破几把票,06-08 10:12,2
98,0,现在又死叉了。[捂脸][捂脸],06-08 10:11,2
107,0,昨天进2亿，现在已经跑了1亿，下午坐等破15。哈哈哈,06-08 10:09,2
121,2,$中远海控(SH601919)$你姥姥？昨天买入，今天就挨套！,06-08 10:08,2
89,0,$中远海控(SH601919)$操，漂亮,06-08 10:07,2
87,0,黄金坑,06-08 10:06,1
85,0,昨天融资买了2亿，今天准没好事,06-08 10:06,2
79,0,上午15.45,06-08 10:04,1
159,0,收筹码涨一天做空跌四天,06-08 10:03,2
74,0,$中远海控(SH601919)$垃圾公司,06-08 10:03,2
122,3,昨天涨一下，今天又回调,06-08 10:01,2
133,1,$中远海控(SH601919)$垃圾股啊！寒心！！,06-08 10:01,2
124,1,昨天跟大盘，今天跟板块，主力尽力出完最后的货。让散,06-08 09:58,2
93,1,完全托离大盘走势,06-08 09:58,2
134,1,猪力昨天疯狂买入2亿股就是为了今天砸盘？[怒],06-08 09:57,2
90,0,今天怎么光想跌的样子,06-08 09:55,2
104,0,出公告真的必跌,06-08 09:55,2
89,0,$中远海控(SH601919)$昨天是内资进来，今天要是内资跑,06-08 09:54,2
83,0,总之越好越跌，越跌越想跌,06-08 09:51,2
92,0,$中远海控(SH601919)$大盘好的时候你一定要跌，一定要,06-08 09:49,2
95,0,$中远海控(SH601919)$衰股,06-08 09:48,2
75,0,垃圾,06-08 09:48,2
86,0,又让老外低位买入,06-08 09:48,1
112,1,$中远海控(SH601919)$只想说尼,06-08 09:48,2
92,0,$中远海控(SH601919)$卖了乱涨拿着就跌,06-08 09:48,2
131,2,$中远海控(SH601919)$昨天看到大师们都出来分析就知道,06-08 09:47,1
81,0,$中远海控(SH601919)$日的,06-08 09:47,1
85,0,哪里有压迫，哪里就有反抗，哪里有剥削，每次就是机会,06-08 09:45,2
86,0,垃圾货呵呵,06-08 09:44,2
85,0,大盘要回调板块也是，这个垃圾海控会跌很大，哈哈,06-08 09:44,2
100,0,中远海控调整,06-08 09:43,2
84,0,海控太拉垮了,06-08 09:42,2
83,0,涨不动，跌起来一点不含糊，,06-08 09:41,1
88,0,鸡狗们，没有站上16.1的金刚钻实力就表去揽瓷器活[偷,06-08 09:41,2
99,0,这个垃圾，一发公告，就跌,06-08 09:39,2
91,0,$中远海控(SH601919)$哈哈诱多出货全部套死,06-08 09:39,2
1984,38,这个月6号我说了，大盘很大可能会去触碰3288这个关键,06-08 09:39,2
84,0,$中远海控(SH601919)$真软,06-08 09:38,2
86,0,烂票,06-08 09:38,2
105,0,$中远海控(SH601919)$恭喜昨天买的成功入套，各位股东,06-08 09:37,1
88,0,$中远海控(SH601919)$操，,06-08 09:35,2
94,0,$中远海控(SH601919)$垃圾海控，表演时间开始了,06-08 09:35,2
83,0,昨天16不卖的真是sha瓜，今天破15,06-08 09:34,2
108,1,$中远海控(SH601919)$昨天一直在狂欢的人呢？,06-08 09:31,2
95,0,又是拉拉的一天,06-08 09:23,1
97,0,期待大牛市要来了，钉子户要解放了，哈哈哈，送钱后就,06-08 09:22,2
99,0,$中远海控(SH601919)$就是不让涨也不让跌？,06-08 09:20,2
169,1,$中远海控(SH601919)$今天会大涨，可能涨停！,06-08 09:20,1
101,0,$中远海控(SH601919)$金天控子腰羊没吐气大行情来了,06-08 09:17,2
267,6,今天能否站稳16.2,06-08 09:16,1
204,0,两市融资余额较前一交易日增加34.63亿元，融资余额1.4,06-08 09:12,1
268,2,中远海控06月07日被沪股通减持927.93万股,06-08 08:44,2
2292,20,6.8海控:昨天上午收盘明显放量了，下午进了一点仓位博,06-08 08:44,1
114,0,$中远海控(SH601919)$有哪个大神知道类似图纸后续会怎,06-08 08:25,2
143,0,阿里早已租用IDC，却以调试为由不付费问题，请杭钢股,06-08 08:21,2
942,42,平和,06-08 08:12,2
209,2,昨天外资净卖出1.4亿,06-08 08:09,2
195,1,中远海控：融资净买入1.94亿元，两市排名第三（06-07,06-08 08:02,1
129,0,缺德船东，来小船，爆仓，故意涨价。捣乱市场,06-08 07:53,2
128,0,$中远海控(SH601919)$船要出事,06-08 07:52,2
140,0,$中远海控(SH601919)$昨天清仓港股通的股票。A股还套,06-08 07:49,2
478,5,6月1日上海解封，复工复产如火如荼，海运业务报复性反,06-08 07:28,1
182,2,"吸够筹码了,抖音有人说马前炮了",06-08 07:24,1
6520,90,【2022.6.8】感觉大盘的调整风险正在临近，其实大盘突,06-08 06:50,1
168,2,不由分说，今天暴跌,06-08 06:15,2
598,1,开工复工忙的就是运输！纠结于分红，踏空于当下！中远,06-08 05:40,1
347,2,都是王炸：华为自动驾驶第一股或迎10倍涨幅！,06-08 05:33,2
355,1,中远海控60191906月07日净买入前十。,06-08 02:01,1
506,1,[哼]上海口岸出货抢运潮来袭港口航运板块强势拉升谁将,06-08 01:57,2
250,1,$中远海控(SH601919)$最怕海控出公告因为一出必跌,06-08 00:49,2
210,1,感觉沪深港通资金想买光中远海控流通筹码，困惑。,06-07 23:31,2
141,0,好样的，今天的又涨了,06-07 23:22,1
134,0,按以往惯例，出公告必跌,06-07 23:15,2
175,0,$中远海控(SH601919)$港股人气不错！,06-07 23:10,1
155,0,精辟。说到点子上了,06-07 23:10,1
159,0,真是那么回事，说的有道理,06-07 22:58,2
137,0,真是那么回事，说的有道理,06-07 22:58,2
195,0,$中远海控(SH601919)$看看别人，想想自己丢不丢脸..羞,06-07 22:54,2
449,3,$中远海控(SH601919)$今天北向净卖出1.48亿，那二个多,06-07 22:50,2
447,1,海运“茅”上涨只会迟到不会不到！,06-07 22:43,1
262,0,海运“茅”上涨只会迟到不会不到！,06-07 22:43,1
268,1,$中远海控(SH601919)$韭菜还在做梦了,06-07 22:20,2
259,2,中远海控:真实的价格12-14之间！否则长期做股东！,06-07 22:07,1
196,1,$中远海控(SH601919)$好像涨一点以后，骂董秘的声音就,06-07 21:59,2
209,2,$中远海控(SH601919)$最高16.16，的真是人才啊！,06-07 21:50,2
163,0,明天来个高开就好了,06-07 21:36,1
122,0,厉害了我的哥,06-07 21:00,1
236,1,$中远海控(SH601919)$什么时候分红啊！其他公司早都分,06-07 20:56,2
228,2,$中远海控(SH601919)$什么时候分红啊！其他公司早都分,06-07 20:56,2
414,5,$中远海控(SH601919)$16会不会是海控最近大顶，感觉明,06-07 20:50,2
149,0,这周的开门红，居然涨停了,06-07 20:49,1
157,0,郁闷，早点看到就好了,06-07 20:37,2
545,0,『预警』上海港迎运输高峰，6月起运力供不应求，运价,06-07 20:28,1
3049,26,开一个中远海控的赌局，我坐庄,06-07 20:22,1
253,0,$中远海控(SH601919)$今天的新闻，上海港口已回复，顶,06-07 20:20,1
173,0,精辟。说到点子上了,06-07 20:15,1
146,0,$中远海控(SH601919)$买票上车了,06-07 20:05,1
228,2,明天又大跌，哈哈,06-07 20:02,2
178,0,$中远海控(SH601919)$明天必涨,06-07 19:58,1
257,2,借利好出货，这几天接盘吧！,06-07 19:23,2
223,1,明天涨停,06-07 19:18,1
143,0,$中远海控(SH601919)$又见航运股,06-07 19:01,2
349,3,感觉自己胆子小了，13到16一直不敢满舱，,06-07 18:56,1
1593,1,$中远海控(SH601919)$【2022.6.7】昨天大盘成交1.1万,06-07 18:54,1
307,2,请问各位大哥哪天分红？,06-07 18:39,2
253,3,$中远海控(SH601919)$高位清仓了，七八个点，这波赚的,06-07 18:09,2
909,0,$中远海控(SH601919)$上海口岸货运链全面恢复“报复式,06-07 18:01,1
573,1,$中远海控(SH601919)$主力今天又出货了，稍微拉两三个,06-07 17:56,2
1634,5,超大单资金流入靠前个股分析（高低位切换标准及妖股应,06-07 17:54,1
3678,49,601919:H股公告—中远海控2022年5月证券变动月报表,06-07 17:37,1
1867,2,沪深股通十大成交活跃股（06-07）,06-07 17:37,1
249,2,$中远海控(SH601919)$是不是到上车时间了,06-07 17:27,1
301,3,咋还不分红，快点分了好走路。,06-07 17:27,2
133,0,今天是弱势股补涨[好困惑],06-07 17:24,2
202,2,$中远海控(SH601919)$海能才是真龙头,06-07 17:22,2
466,4,昨天15.多清了75%，今天剩余25%在16元清光，他日股价1,06-07 17:04,2
412,5,$中远海控(SH601919)$昨天买入的，今天全部出清，暂时,06-07 16:59,2
50597,41,出乎意料！26天翻倍，这只冷门股为何能逆袭？,06-07 16:54,2
739,2,小反弹开始了吗？,06-07 16:44,2
264,1,$中远海控(SH601919)$去年底到今年初总合计买卖股票算,06-07 16:31,1
259,4,一涨起来又看到骑在牛背上的和那个打狙击手枪的，看到,06-07 16:28,1
255,1,$中远海控(SH601919)$看看其他航运股吧，弟中弟,06-07 16:20,2
143,0,$中远海控(SH601919)$甚至连补涨都算不上,06-07 15:53,1
251,7,涨一点韭菜都出来了,06-07 15:35,2
191,1,我是韭菜～我已满仓,06-07 15:28,2
682,7,近期的走势太像洗盘了，也给一些老水手评论过坚持住，,06-07 15:19,1
332,2,这倒底是技术好还是运气呢？怎么今天一买就涨，还大涨,06-07 15:13,2
3223,45,海控今天放量拉升最高1615，随后5-15死叉回调洗盘。5-,06-07 15:13,2
318,4,$中远海控(SH601919)$今天又套一批新韭菜,06-07 15:08,2
151,0,$中远海控(SH601919)$买就对了,06-07 15:07,2
175,0,$中远海控(SH601919)$早说了看好海运买海能，看看涨了,06-07 15:07,1
474,8,明日低开暴跌，一日游,06-07 15:01,1
223,1,买,06-07 15:00,1
301,1,$中远海控(SH601919)$这个股最好不要看，买了就买了，,06-07 14:57,1
148,0,$中远海控(SH601919)$今天没机会进来了，看明天。。,06-07 14:56,1
141,0,$中远海控(SH601919)$你是最优秀的垃圾,06-07 14:50,2
157,0,$中远海控(SH601919)$不要老怪分红不多了，股票一涨，,06-07 14:48,2
139,0,$中远海控(SH601919)$垃圾大王就是你,06-07 14:48,2
123,0,加油,06-07 14:45,1
130,0,最低收盘,06-07 14:45,2
152,0,$中远海控(SH601919)$压的死死的,06-07 14:43,2
306,3,$中远海控(SH601919)$今天收15.90。你们觉得呢,06-07 14:40,2
213,2,$中远海控(SH601919)$早上港股跌的都超过你了，真的是,06-07 14:31,2
197,1,今天你很棒,06-07 14:29,1
322,2,14砸锅卖铁弄的满仓，给点力哈，5000手啊，拿分红啊比,06-07 14:27,1
451,3,$中远海控(SH601919)$有没有知道中远股权登记日是啥时,06-07 14:26,2
284,1,留给你的时间不多了,06-07 14:26,1
134,0,下午盘面以出货为主了！,06-07 14:25,2
166,0,$中远海控(SH601919)$今天海控涨了，让所有在海控被腰,06-07 14:21,2
658,6,$中远海控(SH601919)$那些要买入的我先劝告一下，这股,06-07 14:18,2
284,1,$中远海控(SH601919)$硬一次不行吗别再害人了散户让你,06-07 14:17,2
155,0,15倍市盈率，100元大肉，困惑,06-07 14:14,2
144,0,$中远海控(SH601919)$老乡，别走,06-07 14:08,2
145,0,$中远海控(SH601919)$垃圾就是垃圾,06-07 14:07,2
398,4,$中远海控(SH601919)$今天追高的恭喜加入海控长期股东,06-07 14:03,1
153,0,$中远海控(SH601919)$那么多空缺不补吗？,06-07 14:02,2
150,0,买就单边下跌，说好霉就好霉,06-07 13:58,2
249,2,$中远海控(SH601919)$我真佩服我自己咋选到你了呢,06-07 13:56,2
835,0,#谁会成为六月龙头？谈谈理由#$中远海控(SH601919)$中,06-07 13:55,2
157,0,两个月，4月初到6月初，终于是赚钱了——再见,06-07 13:55,1
826,0,果然软蛋本色不改，北上连续买入难道也要被套牢？,06-07 13:53,2
451,7,$中远海控(SH601919)$16.15接刀了,06-07 13:50,1
144,0,板块先发力，竟然是下套 垃圾啊,06-07 13:49,2
148,0,$中远海控(SH601919)$今日散户来接盘了?哈哈！,06-07 13:48,2
249,2,$中远海控(SH601919)$靠这支票吃分红怎么样呀？,06-07 13:48,2
213,1,$中远海控(SH601919)$每次拉稀之前要做个假突破，每波,06-07 13:46,2
132,0,$中远海控(SH601919)$你是船吗,06-07 13:45,2
116,0,$中远海控(SH601919)$换成新冠药002317,06-07 13:45,2
255,3,有没有中大阳线。,06-07 13:44,1
860,8,中远海控如果是今天宁德时代171的PE股价应该是多少？,06-07 13:37,1
122,0,判断失误，没有达到7个点，还没成功t出去,06-07 13:36,2
187,2,懒驴扶不上墙,06-07 13:31,2
116,0,大盘回落中远有点上涨乏力了短线落袋为安,06-07 13:28,2
277,3,不会吧，一季度每股盈利1.72元，比中国海油一季报每股,06-07 13:28,1
112,0,$中远海控(SH601919)$什么玩意,06-07 13:27,2
146,1,整利索点,06-07 13:14,2
172,2,$中远海控(SH601919)$16一出就冲过去，下午看能回到15,06-07 13:13,2
180,2,这次开盘几乎是直接拉上来的，昨天空仓做T的不知道有,06-07 13:12,1
188,1,$中远海控(SH601919)$这个拉基在冲高回落这块从未让人,06-07 13:08,2
133,0,$中远海控(SH601919)$我是T狗，别让我接回来哦,06-07 13:08,2
130,0,可以[鼓掌][滴汗][鼓掌][鼓掌],06-07 12:59,1
545,15,有跟我一样的，现在重仓在22等回本的么。。,06-07 12:58,1
290,6,$中远海控(SH601919)$我说今天还不跑的都是韭菜，大家,06-07 12:43,2
288,5,$中远海控(SH601919)$去年买的，26的本50手，今年能回,06-07 12:39,1
283,0,坚定信心、坚定持有、坚决看好中远海控,06-07 12:34,1
217,2,会加敢补才能回本有收益，去年21上的车，期间补过2次,06-07 12:31,1
258,0,行情乍起！7倍市盈4年底！股价9.5元 一季报0.35元小盘,06-07 12:23,1
167,1,星辰大海,06-07 12:22,1
222,3,还是那句话下跌趋势改变不了的，反弹就是跑的机会,06-07 12:17,2
3490,14,6月7日实盘擒龙计划之下午计划,06-07 12:15,2
127,0,$中远海控(SH601919)$啥时候分红啊,06-07 12:14,2
117,0,港口与物流同样的,06-07 12:08,2
201,1,$中远海控(SH601919)$上午已出水显芙蓉！今天准备开溜,06-07 12:08,2
454,9,中远海控6月底按市价值应该涨到38元左右，试目以待吧,06-07 12:06,1
222,2,"$中远海控(SH601919)$快长啦，在在压盘就压不下去,托",06-07 11:56,2
226,3,有没有T飞的？,06-07 11:56,1
183,1,$中远海控(SH601919)$拐了拐了，卖了卖了，卖拐[鼓掌],06-07 11:55,1
208,2,猜收盘价，15.8左右。感觉16.保持不住，个人猜测而已,06-07 11:49,1
826,3,忘了“海茅”是你的错！,06-07 11:47,1
111,0,来个涨停解套。,06-07 11:46,1
112,0,$中远海控(SH601919)$为什么绝大多数散户赔钱呢，因为,06-07 11:45,2
370,6,终于回16了，套了俩月[哭],06-07 11:43,2
183,1,$中远海控(SH601919)$都没有个量，长个屁！,06-07 11:39,2
871,4,转皮海洲昨天在新浪财经文章,06-07 11:36,1
175,1,$中远海控(SH601919)$不好意思，下来我加点[好困惑],06-07 11:34,2
198,2,$中远海控(SH601919)$不好意思，下来我加点[好困惑],06-07 11:34,2
250,4,散户就是散户，也不看看板块，典型的拉高出货。哪有什,06-07 11:33,2
248,4,亏2w撤退,06-07 11:28,2
316,4,$中远海控(SH601919)$开盘上涨趋势被大盘拖累，大盘今,06-07 11:26,2
193,1,$中远海控(SH601919)$$中远海控(HK|01919)$对应这个价,06-07 11:25,2
155,1,振华重工,06-07 11:24,1
129,0,$中远海控(SH601919)$要分钱了？,06-07 11:23,2
194,2,$中远海控(SH601919)$11建那个又来带节奏了,06-07 11:22,2
195,7,收14.8,06-07 11:22,1
43,0,$中远海控(SH601919)$港股是猛，A股要干不过了,06-07 11:22,2
99,0,$中远海控(SH601919)$1个多月了，今日回本？,06-07 11:21,1
213,3,$中远海控(SH601919)$14的缺口还不补，等你下来了,06-07 11:21,1
184,1,$中远海控(SH601919)$走了，换开勒股份301070,06-07 11:20,2
98,0,$中远海控(SH601919)$16一卖就飞。。,06-07 11:19,1
137,0,11块建仓又开始喊了，大家拿住,06-07 11:19,1
104,0,$中远海控(SH601919)$各位猜猜明天的走势。,06-07 11:18,2
219,3,$中远海控(SH601919)$先出一部分，感觉大盘会回调了,06-07 11:13,2
102,0,26.22,06-07 11:11,1
99,0,$中远海控(SH601919)$卖飞了比还难受[哭][哭][哭],06-07 11:10,2
184,1,$中远海控(SH601919)$需要一个涨停板,06-07 11:10,1
750,5,被动拉升3个点，就把你们激动成这样，果然的散户大本,06-07 11:07,2
101,0,仙人指路來了,06-07 11:06,1
122,0,$中远海控(SH601919)$哎，永远涨不过你儿子。又不敢换,06-07 11:06,1
92,0,亏一个点卖出,06-07 11:02,2
109,0,$中远海控(SH601919)$终于没有被甩掉！是说大盘在涨她,06-07 11:01,2
177,2,操，16.08走了！,06-07 11:01,2
84,0,现在不跑的，好sha,06-07 11:01,2
86,0,$中远海控(SH601919)$加油海狗子,06-07 11:00,1
115,0,鸡呀鸭呀狗呀们，我又双叒叕886，有本事后面表再下来,06-07 10:59,2
232,2,$中远海控(SH601919)$盘后公司发公告，开始回购，我再,06-07 10:54,1
100,0,这下没辙了吧,06-07 10:54,2
170,1,账户终于红了[呲牙],06-07 10:52,1
236,2,盘后公司会发公告，今天公司开始兑现增持承诺，增持公,06-07 10:49,1
283,6,今天不卖的，明天又绿油油！看看板块，涨4个点了，垃,06-07 10:48,2
107,0,$中远海控(SH601919)$16出了，留下兄弟发财！,06-07 10:47,1
122,0,$中远海控(SH601919)$这成交量至少涨七个点,06-07 10:46,2
