"日期","收盘","开盘","高","低","涨跌幅"
"2022年3月15日","0.9128","0.9140","0.9153","0.9074","-0.13%"
"2022年3月14日","0.9140","0.9139","0.9174","0.9096","-0.25%"
"2022年3月11日","0.9163","0.9104","0.9173","0.9054","0.67%"
"2022年3月10日","0.9102","0.9029","0.9111","0.8992","0.83%"
"2022年3月9日","0.9027","0.9172","0.9183","0.9013","-1.58%"
"2022年3月8日","0.9172","0.9213","0.9218","0.9125","-0.42%"
"2022年3月7日","0.9211","0.9130","0.9255","0.9130","0.66%"
"2022年3月4日","0.9151","0.9036","0.9186","0.9035","1.28%"
"2022年3月3日","0.9035","0.8995","0.9064","0.8989","0.50%"
"2022年3月2日","0.8990","0.8987","0.9044","0.8971","0.04%"
"2022年3月1日","0.8986","0.8914","0.9018","0.8902","0.85%"
"2022年2月28日","0.8910","0.8946","0.8991","0.8891","0.43%"
"2022年2月25日","0.8872","0.8935","0.8956","0.8869","-0.68%"
"2022年2月24日","0.8933","0.8839","0.9004","0.8839","1.06%"
"2022年2月23日","0.8839","0.8829","0.8849","0.8803","0.12%"
"2022年2月22日","0.8828","0.8840","0.8860","0.8797","-0.14%"
"2022年2月21日","0.8840","0.8838","0.8845","0.8779","0.11%"
"2022年2月18日","0.8830","0.8802","0.8838","0.8789","0.33%"
"2022年2月17日","0.8801","0.8791","0.8832","0.8782","0.11%"
